Macrepo	Title	Date	Scale	Surveyor/Author	Citation	Thumbnail Link	Archive Link
71339	[Map of escarpment in east Hamilton]	[between 1837 and 1880]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of escarpment in east Hamilton]. Scale not given. Canada: [Publisher unknown], [between 1837 and 1880]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71339/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71339
71374	Thomas Stinson's Survey of the Easterly Limits of the City	04-1855	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Thomas Stinson's Survey of the Easterly Limits of the City. Scale not given. Canada: [Publisher unknown], 04-1855."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71374/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71374
71394	[Part of lot no. 12 in the 3rd Con. of the Township of Barton]	1837-03-27	Scale not given.	"McKenzie, Alexander"	"McKenzie, Alexander. [Part of lot no. 12 in the 3rd Con. of the Township of Barton]. Scale not given. Canada: [Publisher unknown], 1837-03-27."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71394/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71394
71471	Plan of Wellington Street South and Strongman Road	1856-07-29	[1:1580]	"Dennis, John Stoughton, 1820-1885"	"Dennis, John Stoughton, 1820-1885. Plan of Wellington Street South and Strongman Road. [1:1580]. Canada: [Publisher unknown], 1856-07-29."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71471/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71471
71570	Plan of part of the City of Hamilton	1858-08-06	[1:1580]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of part of the City of Hamilton. [1:1580]. Canada: Ths. Allen Blyth, P.L.S., 1858-08-06."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71570/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71570
71571	Ground Plan of Buildings in the Town of Hamilton	[between 1840-1860]	[1:225]	[Author unknown]	"[Author unknown]. Ground Plan of Buildings in the Town of Hamilton. [1:225]. Canada: [Publisher unknown], [between 1840-1860]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71571/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71571
71682	Plan of Clairmont Park Survey	1897-09-15	[1:1200]	"Tyrell, James Williams, 1863-1945"	"Tyrell, James Williams, 1863-1945. Plan of Clairmont Park Survey. [1:1200]. Canada: The County of Wentworth, 1897-09-15."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71682/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71682
71687	Plan of John Fergusons property in the City of Hamilton	[between 1858 and 1880]	Scale not given.	[Author unknown]	"[Author unknown]. Plan of John Fergusons property in the City of Hamilton. Scale not given.. [Hamilton, Ont.]: [Publisher unknown], [between 1858 and 1880]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71687/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71687
71720	Hamilton	1830-02-12	[1:1580]	"Burwell, Lewis, 1794-1865"	"Burwell, Lewis, 1794-1865. Hamilton. [1:1580]. Canada: [Publisher unknown], 1830-02-12."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71720/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71720
71725	Plan of lots the property of Hutchinson Clark and Burton & Sadlier	[between 1865 and 1875]	[1:600]	[Author unknown]	"[Author unknown]. Plan of lots the property of Hutchinson Clark and Burton & Sadlier. [1:600]. Canada: The Hamilton Spectator, [between 1865 and 1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71725/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71725
71726	A Plan of 20 Town Lots	1842-02	[1:1580]	"Ryckman, Samuel, 1777-1846"	"Ryckman, Samuel, 1777-1846. A Plan of 20 Town Lots. [1:1580]. Hamilton, Ont.: [Publisher Unknown], 1842-02."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71726/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71726
72798	Subdivision of property at the corner of Queen & Concession Streets	[between 1842 and 1888]	[1:600]	[Author unknown]	"[Author unknown]. Subdivision of property at the corner of Queen & Concession Streets. [1:600]. Canada: [Publisher unknown], [between 1842 and 1888]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72798/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72798
73684	"Plan of subdivision of lots 1,2,3,4,5,6 and the reserve lot"	4/16/1903	[1:1200]	"Fair, John, 1847-1927"	"Fair, John, 1847-1927. Plan of subdivision of lots 1,2,3,4,5,6 and the reserve lot. [1:1200]. Canada: [Publisher unknown], 1202."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A73684/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A73684
73685	The Old Race Course	1872-11-25	[1:2380]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. The Old Race Course. [1:2380]. Canada: [Publisher unknown], 1872-11-25."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A73685/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A73685
73686	Plan of the survey of the north part of lot no. 13 in 4th Conn of Barton as laid out into lots by R J Hamilton Esqr.	[between 1820 and 1860?]	Scale not given.	"Greer, James K."	"Greer, James K.. Plan of the survey of the north part of lot no. 13 in 4th Conn of Barton as laid out into lots by R J Hamilton Esqr.. Scale not given.. [Hamilton, Ont.]: [Publisher unknown], [between 1820 and 1860?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A73686/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A73686
74340	"Plan of survey of lots in the City of Hamilton, the property of Walter Dickson Esq"	1856	"[1:1,580]"	"Dickson, Walter"	"Dickson, Walter. Plan of survey of lots in the City of Hamilton, the property of Walter Dickson Esq. [1:1,580]. [Hamilton, Ont.]: [Publisher unknown], 1856."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74340/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74340
74448	"Plan of the south ends of lots nos 13 and 14 in the 4th Conn of Barton, divided into 59 lots of about one acre each"	1853	"[1:2,380]"	"Blyth, Thomas Allan"	"Blyth, Thomas Allan. Plan of the south ends of lots nos 13 and 14 in the 4th Conn of Barton, divided into 59 lots of about one acre each. [1:2,380]. Hamilton, Ont.: [Publisher unknown], 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74448/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74448
74455	Plan of John Fergusons property	1871	Scale not given.	[Author unknown]	"[Author unknown]. Plan of John Fergusons property. Scale no given.. [Hamilton, Ont]: [Publisher unknown], 1871."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74455/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74455
74457	[Map of portion of Ferguson Avenue North and area]	1853	"[1:1,200]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. [Map of portion of Ferguson Avenue North and area]. [1:1,200]. [Hamilton, Ont.]: [Publisher unknown], 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74457/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74457
74461	The Property of Thos. Stinson Esq Hamilton	[between 1830-1864?]	Scale not given.	[Author unknown]	"[Author unknown]. The Property of Thos. Stinson Esq Hamilton. Scale not given.. Hamilton, Ont.: [Publisher unknown], [between 1830-1864?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74461/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74461
74487	"Plan of the survey of lots in the City of Hamilton, the property of Robt. J. Hamilton Esqr"	1847	"[1:1,200]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the survey of lots in the City of Hamilton, the property of Robt. J. Hamilton Esqr. [1:1,200]. Hamilton (Ont.): [Publisher unknown], 1847."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74487/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74487
74489	Plan of survey of six acres of land at the north west corner of lot No11 3rd concession of Barton	1857	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of survey of six acres of land at the north west corner of lot No11 3rd concession of Barton. Scale not given.. Hamilton, Ont.: [Publisher unknown], 1857."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74489/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74489
74501	"Sketch of survey of lots nos. 10, 11 and 12 in the Fourth Conn. of Township of Barton"	1850	"[1:3,960]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of survey of lots nos. 10, 11 and 12 in the Fourth Conn. of Township of Barton. [1:3,960]. Hamilton, Ont: [Publisher unknown], 1850."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74501/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74501
74549	Plan of survey of lots in the City of Hamilton between Concession and Markland Streets being part of lot 16 in 3 Concession	1872	[1:600]	[Author unknown]	"[Author unknown]. Plan of survey of lots in the City of Hamilton between Concession and Markland Streets being part of lot 16 in 3 Concession. [1:600]. Hamilton Ont.: [Publisher unknown], 1872."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74549/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74549
74550	Plan of subdivision of part of north half of lot 11 and the north half of lot 12 in the Fifth Concession	[between 1850 and 1900?]	Scale not given.	[Author unknown]	"[Author unknown]. Plan of subdivision of part of north half of lot 11 and the north half of lot 12 in the Fifth Concession. Scale not given.. [Hamilton, Ont.]: [Publisher unknown], [between 1850 and 1900?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74550/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74550
74554	"Subdivision of lots nos. 11, 12 &13 in the late James Hughson's survey in Hamilton"	1858	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Subdivision of lots nos. 11, 12 &13 in the late James Hughson's survey in Hamilton. Scale not given.. [Hamilton, Ont.]: [Publisher unknown], 1858."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74554/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74554
74655	"Sketch of lots in the township of Barton & adjacent to the City of Hamilton, the property of Michael Aikman Esq"	1854	"[1:1,200]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of lots in the township of Barton & adjacent to the City of Hamilton, the property of Michael Aikman Esq. [1:1,200]. Hamilton, Ont.: [Publisher unknown], 1854."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74655/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74655
74676	"Plan of lots in the city of Hamilton, the property of V.H. Tisdale, Esq."	1854	[1:600]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of lots in the city of Hamilton, the property of V.H. Tisdale, Esq.. [1:600]. Toronto, Ont.: Maclear & Co. Lith., 1854."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74676/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74676
74678	Plan of the survey of that part of David Kirkendall's Survey in the town of Hamilton	1845	"[1:1,440]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the survey of that part of David Kirkendall's Survey in the town of Hamilton. [1:1,440]. [Hamilton, Ont.]: [Publisher unknown], 1845."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74678/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74678
74679	Sketch of survey of property in the City of Hamilton	1849	[1:120]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of survey of property in the City of Hamilton. [1:120]. Hamilton, Ont.: [Publisher unknown], 1849."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74679/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74679
74680	"Plan of lots in the City of Hamilton, the property of V.H. Tisdale, Esq."	1854	[1:600]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of lots in the City of Hamilton, the property of V.H. Tisdale, Esq.. [1:600]. Toronto, Ont.: Maclear & Co. Lith., 1854."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74680/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74680
74681	Sketch of lot no 9 and part of lot no. 10 south of King St. in Hamilton	1855	[1:120]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of lot no 9 and part of lot no. 10 south of King St. in Hamilton. [1:120]. Hamilton, Ont.: [Publisher unknown], 1855."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74681/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74681
74686	"[Map of Hamilton, showing Main Street and Emerald Street]"	[between 1840 and 1860?]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Hamilton, showing Main Street and Emerald Street]. Scale not given. [Hamilton, Ont.]: [Publisher unknown], [between 1840 and 1860?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74686/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74686
74688	[West limits of the City of Hamilton around Paradise Street]	[between 1850 and 1870?]	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. [West limits of the City of Hamilton around Paradise Street]. Scale not given. [Place of publication unknown]: [Publisher unknown], [between 1850 and 1870?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74688/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74688
74689	"[Map of Hamilton, bounded by Burlington, Barton, Mary and James Street]"	[18--?]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Hamilton, bounded by Burlington, Barton, Mary and James Street]. Scale not given. Hamilton, Ont.: [Publisher unknown], [18--?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74689/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74689
74800	"Plan of lots A.B.C.D.E.F. and of lots G, H, I, J, K, (south side of canal), at Burlington Beach, Saltfleet Township."	1895	[1:600]	"Barrow, Ernest G."	"Barrow, Ernest G.. Plan of lots A.B.C.D.E.F. and of lots G, H, I, J, K, (south side of canal), at Burlington Beach, Saltfleet Township.. [1:600]. [Hamilton, Ont.]: [Publisher unknown], 1895."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74800/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74800
74826	[Part of the Beasley Farm in the City of Hamilton] as laid out [into] lots for the Hon. M. Cameron	1856	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. [Part of the Beasley Farm in the City of Hamilton] as laid out [into] lots for the Hon. M. Cameron. Scale not given. Hamilton, Ont.: H. Gregory Lith., 1856."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74826/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74826
74934	Plan of the subdivision of park lots nos. 4 and 7	1868	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the subdivision of park lots nos. 4 and 7. Scale not given. Hamilton, Ont.: [Publisher unknown], 1868."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74934/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74934
74937	Plan shewing the subdivision of part of lot no 8 of Allan W. MacNab's survey of part of lot no 17	1856	[1:320 approximately]	"Murray, David"	"Murray, David. Plan shewing the subdivision of part of lot no 8 of Allan W. MacNab's survey of part of lot no 17. [1:320 approximately]. Hamilton, Ont.: [Publisher unknown], 1856."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74937/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A74937
75081	Map shewing the several divisions as devised by will of the late Robert Vandusens portion of lot no 32 in the 7th Concession	1873	"[1:2,380]"	"Brownjohn, Thomas C."	"Brownjohn, Thomas C.. Map shewing the several divisions as devised by will of the late Robert Vandusens portion of lot no 32 in the 7th Concession. [1:2,380]. Hamilton, Ont.: [Publisher unknown], 1873."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75081/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75081
75128	"Sketch of part of lot 18 in 3rd Con Township of Barton, known as the ""race course"", City of Hamilton"	[No date]	"[1:1,200]"	[Author unknown]	"[Author unknown]. Sketch of part of lot 18 in 3rd Con Township of Barton, known as the ""race course"", City of Hamilton. [1:1,200]. [Hamilton, Ont.]: [Publisher unknown], [No date]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75128/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75128
75198	Glanford	1846	"[1:31,700 approximately]"	Canada. Crown Lands Department	"Canada. Crown Lands Department. Glanford. [1:31,700 approximately]. Montreal, Que.: [Publisher unknown], 1846."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75198/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75198
75441	"Plan of lots in the village of Waterdown, being subdivision of park lot no 9 (shewn on H. Winters plan) and park lot no 2"	1870	[1:800 approximately]	"O'Keeffe, David Charles"	"O'Keeffe, David Charles. Plan of lots in the village of Waterdown, being subdivision of park lot no 9 (shewn on H. Winters plan) and park lot no 2. [1:800 approximately]. Hamilton, Ont.: [Publisher unknown], 1870."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75441/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75441
75448	Plan of West Hamilton annex being a subdivision of part of the gore of Ancaster	1908	[1:600]	"Barrow, Ernest G."	"Barrow, Ernest G.. Plan of West Hamilton annex being a subdivision of part of the gore of Ancaster. [1:600]. Hamilton, Ont.: [Publisher unknown], 1908."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75448/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75448
75449	The Property of Thos. Stinson Esq Hamilton C.W.	[between 1830-1864?]	Scale not given.	[Author unknown]	"[Author unknown]. The Property of Thos. Stinson Esq Hamilton C.W.. Scale not given.. Hamilton, Ont.: [Publisher unknown], [between 1830-1864?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75449/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75449
75460	"Plan of subdivision of lot, 4, 6 & 10 in the survey of the late James Mills, City of Hamilton"	[between 1816 and 1852?]	Scale not given.	[Author unknown]	"[Author unknown]. Plan of subdivision of lot, 4, 6 & 10 in the survey of the late James Mills, City of Hamilton. Scale not given.. Hamilton, Ont.: [Publisher unknown], [between 1816 and 1852?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75460/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75460
75462	Plan of survey of block in the late James Mills's survey made by me	1869	"[1:1,600 approximately]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of survey of block in the late James Mills's survey made by me. [1:1,600 approximately]. Hamilton, Ont.: [Publisher unknown], 1869."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75462/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75462
75464	Flamborough	1847	[1:31700 approximately]	Canada Crown Lands Department	"Canada Crown Lands Department. Flamborough. [1:31700 approximately]. Montreal, Que.: [Publisher unknown], 1847."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75464/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75464
75477	Copy of part of Flamborough East (no 10)	1863	"[1:31,700 approximately]"	Canada. Crown Lands Department	"Canada. Crown Lands Department. Copy of part of Flamborough East (no 10). [1:31,700 approximately]. [Montreal], Quebec: [Publisher unknown], 1863."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75477/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75477
75478	"Plan of subdivision of park lot number 3, York Street as laid out for Sir A.N. MacNab Bart."	[between 1836 and 1899?]	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of subdivision of park lot number 3, York Street as laid out for Sir A.N. MacNab Bart.. Scale not given. [Hamilton, Ont.]: [Publisher unknown], [between 1836 and 1899?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75478/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75478
75479	"Plan of survey of lots adjoining the City of Hamilton, the property of J.T. Gilkison Esq"	[between 1850 and 1880?]	Scale not given.	[Author unknown]	"[Author unknown]. Plan of survey of lots adjoining the City of Hamilton, the property of J.T. Gilkison Esq. Scale not given. [Hamilton, Ont.]: [Publisher unknown], [between 1850 and 1880?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75479/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75479
75518	"Plan of park lots adjacent [to Guelph Road, containing the property of Peter Carol esq.]"	[between 1840 and 1880?]	Scale not given.	"Carroll, Peter, 1806-1876"	"Carroll, Peter, 1806-1876. Plan of park lots adjacent [to Guelph Road, containing the property of Peter Carol esq.]. Scale not given. [Hamilton, Ont.]: [Publisher unknown], [between 1840 and 1880?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75518/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75518
75526	"[Map of Hamilton, east of Wentworth Street to the Sherman Inlet]"	[between 1850 and 1880?]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Hamilton, east of Wentworth Street to the Sherman Inlet]. Scale not given. Hamilton, Ont.: [Publisher unknown], [between 1850 and 1880?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75526/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75526
75528	"[Map of Dundas, east of Sydenham Street]"	[Between 1850 and 1880?]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Dundas, east of Sydenham Street]. Scale not given. [Hamilton, Ont.]: [Publisher unknown], [Between 1850 and 1880?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75528/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75528
75529	Plan of survey of subdivision of lots 3 & 4 on Hannah and Cherry Streets known as the Brick Yard Track in Springers Survey	[between 1800-1860?]	[1:240]	[Author unknown]	"[Author unknown]. Plan of survey of subdivision of lots 3 & 4 on Hannah and Cherry Streets known as the Brick Yard Track in Springers Survey. [1:240]. [Hamilton, Ont.]: [Publisher unknown], [between 1800-1860?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75529/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75529
75531	Entrance to Crystal Place Grounds	[1860 or 1869?]	[1:240]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Entrance to Crystal Place Grounds. [1:240]. [Hamilton, Ont.]: [Publisher unknown], [1860 or 1869?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75531/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75531
75731	"A true copy of survey of lots in the Township of Barton and adjacent to the City of Hamil[ton], the property of Michael Aikman"	1854	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. A true copy of survey of lots in the Township of Barton and adjacent to the City of Hamil[ton], the property of Michael Aikman. Scale not given. [Hamilton, Ont.]: [Publisher unknown], 1854."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75731/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75731
75802	"Subdivision of park lots 3, 4, 9 & 10 in the Honble. J. H. Cameron's Survey, City of Hamilton"	[between 1845 and 1860?]	Scale not given.	[Author unknown]	"[Author unknown]. Subdivision of park lots 3, 4, 9 & 10 in the Honble. J. H. Cameron's Survey, City of Hamilton. Scale not given.. [Hamilton, Ont.]: [Publisher unknown], [between 1845 and 1860?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75802/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A75802
76547	"Sketch of subdivision of lots nos. 3, 4 & 6 corner of Main and Railway Streets in the late James Milles' [Mills] survey"	[between 1850 and 1870?]	[1:600]	J. D. McKay & Co.	"J. D. McKay & Co.. Sketch of subdivision of lots nos. 3, 4 & 6 corner of Main and Railway Streets in the late James Milles' [Mills] survey. [1:600]. [Hamilton, Ont.]: [Publisher unknown], [between 1850 and 1870?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76547/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76547
76548	Sketch of the survey of 5 lots containing 5 acres each with the exception of no 5 which contains 4 a. [illegible details]	1871	"[1:3,960 approximately]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of the survey of 5 lots containing 5 acres each with the exception of no 5 which contains 4 a. [illegible details]. [1:3,960 approximately]. Hamilton, Ont.: [Publisher unknown], 1871."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76548/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76548
76551	Copy of survey of property on John Street in Robert Jarvis Hamilton Survey	1853	"[1:1,200]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Copy of survey of property on John Street in Robert Jarvis Hamilton Survey. [1:1,200]. Hamilton, Ont.: [Publisher unknown], 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76551/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76551
76552	"Sketch of acre lots in the Township of Barton, adjoining the City of Hamilton"	1853	"[1:1,580]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of acre lots in the Township of Barton, adjoining the City of Hamilton. [1:1,580]. Hamilton, Ont.: [Publisher unknown], 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76552/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76552
76562	Copy of plan of ordinance property Burlington Heights in the City of Hamilton	[between 1830 and 1870]	Scale not given.	Ontario. Commissioner of Crown Lands	"Ontario. Commissioner of Crown Lands. Copy of plan of ordinance property Burlington Heights in the City of Hamilton. Scale not given. [Hamilton, Ont.]: [Publisher unknown], [between 1830 and 1870]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76562/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76562
76563	[Map of Hamilton from MacNab Street to Great Mary Street]	[1836]	[1:800 approximately]	[Author unknown]	"[Author unknown]. [Map of Hamilton from MacNab Street to Great Mary Street]. [1:800 approximately]. Hamilton, Ont.: [Publisher unknown], [1836]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76563/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76563
